"Time","C","R","D","I","delC","delD"
1,1,0,0,1,NA,NA
2,1,0,0,1,0,0
3,2,0,0,2,1,0
4,2,0,0,2,0,0
5,3,0,0,3,1,0
6,4,0,0,4,1,0
7,4,0,0,4,0,0
8,4,0,0,4,0,0
9,4,0,0,4,0,0
10,11,0,0,11,7,0
11,12,0,0,12,1,0
12,15,0,0,15,3,0
13,15,0,0,15,0,0
14,16,0,0,16,1,0
15,19,0,0,19,3,0
16,23,0,0,23,4,0
17,24,1,0,23,1,0
18,24,1,0,23,0,0
19,25,3,0,22,1,0
20,27,3,0,24,2,0
21,28,3,0,25,1,0
22,28,7,0,21,0,0
23,28,7,0,21,0,0
24,28,7,0,21,0,0
25,28,9,0,19,0,0
26,29,9,0,20,1,0
27,30,10,0,20,1,0
28,31,12,0,19,1,0
29,31,12,0,19,0,0
30,104,16,1,87,73,1
31,204,16,2,186,100,1
32,433,16,2,415,229,0
33,602,18,6,578,169,4
34,833,18,8,807,231,2
35,977,22,10,945,144,2
36,1261,22,12,1227,284,2
37,1766,22,13,1731,505,1
38,2337,22,13,2302,571,0
39,3150,27,16,3107,813,3
40,3736,30,17,3689,586,1
41,4335,30,28,4277,599,11
42,5186,30,28,5128,851,0
43,5621,41,35,5545,435,7
44,6088,41,35,6012,467,0
45,6593,135,42,6416,505,7
46,7041,135,44,6862,448,2
47,7314,118,50,7146,273,6
48,7478,118,53,7307,164,3
49,7513,247,54,7212,35,1
50,7755,288,60,7407,242,6
51,7869,333,66,7470,114,6
52,7979,510,66,7403,110,0
53,8086,510,72,7504,107,6
54,8162,510,75,7577,76,3
55,8236,1137,75,7024,74,0
56,8320,1407,81,6832,84,6
57,8413,1540,84,6789,93,3
58,8565,1540,91,6934,152,7
59,8652,1540,94,7018,87,3
60,8799,1540,102,7157,147,8
